data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),12.590.000₫,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w?utm_flashsale=1,1,14.490.000₫,-13%,1.090.000₫,RAM 16 GB SSD 512 GB,4.0,34 đánh giá
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),16.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1,2,16.990.000₫,,100.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
HP 15 fd0234TU i5 1334U (9Q969PA),16.490.000₫,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,3,19.790.000₫,-16%,1.190.000₫,RAM 16 GB SSD 512 GB,4,1 đánh giá
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),14.290.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn,4,15.990.000₫,-10%,1.090.000₫,RAM 16 GB SSD 512 GB,4.3,14 đánh giá
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),10.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w?utm_flashsale=1,5,12.290.000₫,-14%,1.090.000₫,RAM 8 GB SSD 512 GB,4.1,12 đánh giá
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N),9.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-529v-i5-nxaddsv00n,6,10.990.000₫,-9%,1.090.000₫,RAM 8 GB SSD 256 GB,3,1 đánh giá
MacBook Air 13 inch M1,18.590.000₫,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,7,19.990.000₫,-7%,,RAM 8 GB SSD 256 GB,4.5,212 đánh giá
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),21.690.000₫,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn,8,24.990.000₫,-13%,1.090.000₫,RAM 16 GB SSD 512 GB,4.2,12 đánh giá
HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA),17.290.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa,9,20.990.000₫,-17%,1.190.000₫,RAM 16 GB SSD 512 GB,3.9,34 đánh giá
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),16.990.000₫,https://www.thegioididong.com/laptop/asus-asus-vivobook-15-oled-a1505za-i5-ma415w,10,19.990.000₫,-15%,1.090.000₫,RAM 16 GB SSD 512 GB,4,4 đánh giá
