product_names,links,product_price,index_,price_old_dix,price_old_list,discount_dix,discount_list,discount_dix_Student,discount_list_Student,Brand
Laptop ASUS TUF Gaming A14 FA401WV-RG061WS - Chỉ có tại CellphoneS,https://cellphones.com.vn/laptop-asus-tuf-gaming-a14-fa401wv-rg061ws.html,44.990.000đ,1,1.0,,1.0,,1.0,800.000đ,Laptop ASUS
Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001,https://cellphones.com.vn/laptop-acer-aspire-3-a314-42p-r3b3.html,11.990.000đ,2,2.0,13.990.000đ,2.0,Giảm 14%,2.0,480.000đ,Laptop Acer
Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m2-2022.html,23.990.000đ,3,3.0,24.990.000đ,3.0,Giảm 4%,3.0,500.000đ,Apple MacBook
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-2020-m1.html,17.990.000đ,4,4.0,22.990.000đ,4.0,Giảm 22%,4.0,500.000đ,Apple MacBook
Laptop ASUS VivoBook Go 14 E1404FA-NK177W,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,12.390.000đ,5,5.0,14.490.000đ,5.0,Giảm 14%,5.0,496.000đ,Laptop ASUS
Laptop HP Pavilion 15-EG3111TU 8U6L8PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3111tu-8u6l8pa.html,18.490.000đ,6,6.0,21.290.000đ,6.0,Giảm 13%,6.0,740.000đ,Laptop HP
Laptop HP 240 G9 9E5W3PT,https://cellphones.com.vn/laptop-hp-240-g9-9e5w3pt.html,13.990.000đ,7,7.0,16.990.000đ,7.0,Giảm 18%,7.0,560.000đ,Laptop HP
Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html,15.990.000đ,8,8.0,17.290.000đ,8.0,Giảm 8%,8.0,640.000đ,Laptop Lenovo
Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN,https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14iau7-82r700jqvn.html,11.490.000đ,9,9.0,15.990.000đ,9.0,Giảm 28%,9.0,460.000đ,Laptop Lenovo
MacBook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-13-inch-2024.html,26.990.000đ,10,10.0,27.990.000đ,10.0,Giảm 4%,10.0,500.000đ,MacBook Air
Laptop Lenovo LOQ 15IAX9 83GS001RVN,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001rvn.html,21.590.000đ,11,11.0,23.990.000đ,11.0,Giảm 10%,11.0,800.000đ,Laptop Lenovo
Laptop ASUS Gaming VivoBook K3605ZF-RP634W,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zf-rp634w.html,17.290.000đ,12,12.0,20.990.000đ,12.0,Giảm 18%,12.0,692.000đ,Laptop ASUS
Laptop Dell Inspiron 15 3520,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-25p2312.html,16.490.000đ,13,13.0,16.990.000đ,13.0,Giảm 3%,13.0,660.000đ,Laptop Dell
Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405za-km263w.html,18.490.000đ,14,14.0,20.490.000đ,14.0,Giảm 10%,14.0,740.000đ,Laptop ASUS
Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,28.990.000đ,15,15.0,29.990.000đ,15.0,Giảm 3%,15.0,500.000đ,Apple MacBook
